ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"333182",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Velika,Vrbovec
"333166",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Preseka,Vrbovec
"333077",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Hudovo,Vrbovec
"333069",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Hruškovica,Vrbovec
"333018",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Gostović,Vrbovec
"325422",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Sesvete,Dugo Selo
"325392",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Sesvetski Kraljevec,Dugo Selo
"308102",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Lupoglav,Dugo Selo
"336491",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Valetić,Vrbovec
"336475",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Gornji Vinkovec,Vrbovec
"335959",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Zelina,Dugo Selo
"335932",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Tomaševec,Dugo Selo
"335924",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Radoišće,Dugo Selo
"335916",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Psarjevo,Dugo Selo
"335908",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Paukovec,Dugo Selo
"335894",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Orešje,Dugo Selo
"335886",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Obrež,Dugo Selo
"335878",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Novo Mjesto,Dugo Selo
"335860",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Laktec,Dugo Selo
"335851",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Komin,Dugo Selo
"335843",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Hrnjanec,Dugo Selo
"335835",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Hrastje,Dugo Selo
"335827",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Helena,Dugo Selo
"335819",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Blaževdol,Dugo Selo
"335797",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Blaškovec,Dugo Selo
"335690",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Gornja Bistra,Zagreb
"335568",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Gornje Vrapče,Zagreb
"335363",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Gračani,Zagreb
"335355",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Remete,Hortikultura Zagreb
"335347",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Markuševec,Zagreb
"335339",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Maksimir,Hortikultura Zagreb
"335312",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Granešina,Hortikultura Zagreb
"335304",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Dubrava,Hortikultura Zagreb
"335282",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Čučerje,Dugo Selo
"335274",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Mikulići,Hortikultura Zagreb
"335266",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Črnomerec,Hortikultura Zagreb
"335258",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Šestine,Zagreb
"335240",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Centar,Hortikultura Zagreb
"333212",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Samoborec,Vrbovec
"333204",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Salnik,Vrbovec
"333174",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Rakovec,Vrbovec
"333123",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Negovac,Vrbovec
"333115",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Mlaka,Vrbovec
"333093",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Lonjica,Vrbovec
"325465",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Vurnovec,Dugo Selo
"325457",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Vugrovec,Dugo Selo
"325449",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Šašinovec,Dugo Selo
"325414",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Planina,Dugo Selo
"325406",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Lužan,Dugo Selo
"325384",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Kašina,Dugo Selo
"325376",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Goranec,Dugo Selo
"325368",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Glavnica,Dugo Selo
"325350",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Đurđekovec,Dugo Selo
"325341",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Blaguša,Dugo Selo
"325333",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Adamovec,Dugo Selo
"308056",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Hrebinec,Dugo Selo
"304964",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Stubičko Podgorje,Donja Stubica
"304956",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Stubički Matej,Donja Stubica
"304930",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Strmec Stubički,Donja Stubica
"304921",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Slani Potok,Donja Stubica
"304905",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Pustodol,Donja Stubica
"304883",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Oroslavje,Donja Stubica
"304867",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Modrovec,Donja Stubica
"304859",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Marija Bistrica,Donja Stubica
"304824",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Laz Bistrički,Donja Stubica
"304816",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Kraljev Vrh,Donja Stubica
"304794",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Hum Stubički,Donja Stubica
"304786",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Gusakovec,Donja Stubica
"304778",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Gornja Stubica,Donja Stubica
"304760",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Globočec,Donja Stubica
"304743",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Donja Stubica,Donja Stubica
"304735",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Andraševec,Donja Stubica
"335649",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Trnje,Hortikultura Zagreb
"335622",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Trešnjevka,Hortikultura Zagreb
"335614",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Rudeš,Zagreb
"335606",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Vrapče,Hortikultura Zagreb
"335550",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Žitnjak,Zagreb
"335541",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Resnik,Zagreb
"335533",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Peščenica,Hortikultura Zagreb
"335495",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Remetinec,Zagreb,Zaprudski Otok,Remetinec
"335444",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Remetinec,Zagreb,Klara,Remetinec
"335436",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Remetinec,Zagreb,Jakuševec,Remetinec
"331929",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Velika Mlaka,Velika Gorica
"331902",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Velika Gorica,Velika Gorica
"331848",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Šćitarjevo,Velika Gorica
"331830",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Strmec Bukevski,Velika Gorica
"331821",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Staro Čiče,Velika Gorica
"331791",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Ribnica,Velika Gorica
"331783",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Poljana Čička,Velika Gorica
"331759",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Pleso,Velika Gorica
"331732",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Obrezina,Velika Gorica
"331724",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Novo Čiče,Velika Gorica
"331694",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Mičevec,Velika Gorica
"331651",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Lekneno,Velika Gorica
"331597",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Kosnica,Velika Gorica
"331554",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Gradići,Velika Gorica
"331538",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Gornje Podotočje,Velika Gorica
"331481",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Črnkovec,Velika Gorica
"331473",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Čička Lazina,Velika Gorica
"331414",Velika Gorica,Zagrebačka županija,Zagreb,Šumarija Velika Gorica,Zagreb,Bukevje,Velika Gorica
"312525",Ivanić-Grad,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Trebovec,Dugo Selo
"308188",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Rugvica,Dugo Selo
"308170",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Prozorje,Dugo Selo
"308153",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Ostrna,Dugo Selo
"308145",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Okunščak,Dugo Selo
"308129",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Novaki Oborovski,Dugo Selo
"308099",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Leprovica,Dugo Selo
"308072",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Ježevo,Dugo Selo
"308064",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Hruščica,Dugo Selo
"308048",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Dugo Selo II,Dugo Selo
"308030",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Dugo Selo I,Dugo Selo
"308021",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Brckovljani,Dugo Selo
"308013",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Andrilovec,Dugo Selo
"336483",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Vinkovec,Vrbovec
"333255",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Tkalec,Vrbovec
"333026",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Gradec,Vrbovec
"315729",Križevci,Koprivničko-križevačka župa,Koprivnica,Šumarija Križevci,Koprivnica,Raven,Križevci
"315389",Križevci,Koprivničko-križevačka župa,Koprivnica,Šumarija Križevci,Koprivnica,Dubovec,Križevci
"336564",Klanjec,Krapinsko-zagorska županija,Krapina,Šumarija Krapina,Zagreb,Gornji Čemehovec,Krapina
"335754",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Pušća,Zagreb
"335746",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Prosinec,Zagreb
"335720",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Laduć,Zagreb
"335703",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Kraj,Zagreb
"335681",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Dubravica,Zagreb
"335665",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Brdovec,Zagreb
"325210",Samobor,Zagrebačka županija,Zagreb,Šumarija Samobor,Zagreb,Vrbovec,Samobor
"325031",Samobor,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Klokočevec Samoborski,Zagreb
"313696",Klanjec,Krapinsko-zagorska županija,Krapina,Šumarija Krapina,Zagreb,Radakovo,Krapina
"313645",Klanjec,Krapinsko-zagorska županija,Krapina,Šumarija Krapina,Zagreb,Kraljevec na Sutli,Krapina
"335762",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Zaprešić,Zagreb
"335738",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Krapina,Zagreb,Pluska,Krapina
"335711",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Kupljenovo,Zagreb
"335673",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Donja Bistra,Zagreb
"335657",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Bistransko Podgorje,Zagreb
"335576",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Gornji Stenjevec,Zagreb
"334537",Zabok,Krapinsko-zagorska županija,Krapina,Šumarija Krapina,Zagreb,Veliko Trgovišće,Krapina
"334472",Zabok,Krapinsko-zagorska županija,Krapina,Šumarija Krapina,Zagreb,Strmec,Krapina
"325198",Samobor,Zagrebačka županija,Zagreb,Šumarija Samobor,Zagreb,Strmec Samoborski,Samobor
"304948",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Stubička Slatina,Donja Stubica
"304875",Donja Stubica,Krapinsko-zagorska županija,Krapina,Šumarija Donja Stubica,Zagreb,Mokrice,Donja Stubica
"304808",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Jakovlje,Zagreb
"335592",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Stenjevec,Hortikultura Zagreb
"333883",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Vrginmost,Gvozd
"333794",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Slavsko Polje,Gvozd
"333778",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Podgorje,Gvozd
"333760",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Pješčanica,Gvozd
"333522",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Brnjavac,Gvozd
"332909",Vojniæ,Karlovačka županija,Karlovac,Šumarija Vojnić,Karlovac,Vojnić,Vojnić
"332895",Vojniæ,Karlovačka županija,Karlovac,Šumarija Vojnić,Karlovac,Utinja Vrelo,Vojnić
"332801",Vojniæ,Karlovačka županija,Karlovac,Šumarija Krnjak,Karlovac,Kolarić,Krnjak
"332771",Vojniæ,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Bukovica,Karlovac
"307602",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Grabrk,Duga Resa
"307599",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Gornji Zvečaj,Duga Resa
"307556",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Generalski Stol,Duga Resa
"307548",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Erdelj,Duga Resa
"307513",Duga Resa,Karlovačka županija,Karlovac,Šumarija Krnjak,Karlovac,Donji Skrad,Krnjak
"307505",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Cerovac Barilovački,Duga Resa
"307491",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Bukovlje,Duga Resa
"307459",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Barilović,Duga Resa
"333824",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Šljivovac,Gvozd
"333816",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Stipan,Gvozd
"333735",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Ostrožin,Gvozd
"333697",Karlovac,Karlovačka županija,Karlovac,Šumarija Pisarovina,Karlovac,Lasinja,Pisarovina
"333662",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Kirin,Gvozd
"333603",Topusko,Sisačko-moslavačka županija,Sisak,Šumarija Gvozd,Karlovac,Dugo Selo,Gvozd
"333590",Karlovac,Karlovačka županija,Karlovac,Šumarija Pisarovina,Karlovac,Sredičko Desno,Pisarovina
"333581",Karlovac,Karlovačka županija,Karlovac,Šumarija Pisarovina,Karlovac,Štefanki Desni,Pisarovina
"321419",Ozalj,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Tomašnica,Duga Resa
"321176",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Griče,Ozalj
"313408",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Zagrad,Karlovac
"313386",Karlovac,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Zadobarje,Ozalj
"313378",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Vukmanić,Karlovac
"313360",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Velika Jelsa,Karlovac
"313343",Karlovac,Karlovačka županija,Karlovac,Šumarija Gvozd,Karlovac,Utinja,Gvozd
"313327",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Turanj,Karlovac
"313319",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Trebinja,Karlovac
"313297",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Šišljavić,Karlovac
"313289",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Skakavac,Karlovac
"313262",Karlovac,Karlovačka županija,Karlovac,Šumarija Gvozd,Karlovac,Lasinjski Sjeničak,Gvozd
"313254",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Rečica,Karlovac
"313203",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Pokupska Luka,Karlovac
"313149",Karlovac,Karlovačka županija,Karlovac,Šumarija Gvozd,Karlovac,Gornji Sjeničak,Gvozd
"313092",Karlovac,Karlovačka županija,Karlovac,Šumarija Draganić,Karlovac,Draganić,Draganić
"313084",Karlovac,Karlovačka županija,Karlovac,Šumarija Gvozd,Karlovac,Donji Sjeničak,Gvozd
"313017",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Pokupska Blatnica,Karlovac
"313009",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Banski Moravci,Karlovac
"312991",Karlovac,Karlovačka županija,Karlovac,Šumarija Pisarovina,Karlovac,Banski Kovačevac,Pisarovina
"312983",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Banska Selnica,Karlovac
"312746",Jastrebarsko,Zagrebačka županija,Zagreb,Šumarija Pisarovina,Karlovac,Pisarovina,Pisarovina
"312673",Jastrebarsko,Zagrebačka županija,Zagreb,Šumarija Pisarovina,Karlovac,Lijevo Sredičko,Pisarovina
"312584",Jastrebarsko,Zagrebačka županija,Zagreb,Šumarija Pisarovina,Karlovac,Donja Kupčina,Pisarovina
"307904",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Pribanjci,Duga Resa
"313416",Karlovac,Karlovačka županija,Karlovac,Šumarija Krnjak,Karlovac,Zimić,Krnjak
"313335",Karlovac,Karlovačka županija,Karlovac,Šumarija Karlovac,Karlovac,Tušilović,Karlovac
"313076",Karlovac,Karlovačka županija,Karlovac,Šumarija Krnjak,Karlovac,Donji Budački,Krnjak
"307955",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Umol,Duga Resa
"307866",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Podrebar,Duga Resa
"307831",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Otok na Dobri,Duga Resa
"307823",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Novo Selo Bosiljevsko,Duga Resa
"307742",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Mateško Selo,Duga Resa
"307700",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Lešće,Duga Resa
"307670",Duga Resa,Karlovačka županija,Karlovac,Šumarija Krnjak,Karlovac,Kosijersko Selo,Krnjak
"307637",Duga Resa,Karlovačka županija,Karlovac,Šumarija Duga Resa,Karlovac,Hrsina,Duga Resa
"336602",Jastrebarsko,Zagrebačka županija,Zagreb,Šumarija Krašić,Karlovac,Krašić II,Krašić
"336599",Jastrebarsko,Zagrebačka županija,Zagreb,Šumarija Krašić,Karlovac,Krašić I,Krašić
"321486",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Žakanje,Ozalj
"321478",Ozalj,Karlovačka županija,Karlovac,Šumarija Draganić,Karlovac,Zorkovac,Draganić
"321460",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Zaluka,Ozalj
"321451",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Zajačko Selo,Ozalj
"321443",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Vrhovac,Ozalj
"321435",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Vivodina,Ozalj
"321427",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Trg,Ozalj
"321397",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Svetičko Hrašće,Ozalj
"321389",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Svetice,Ozalj
"321362",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Sračak,Ozalj
"321354",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Slapno,Ozalj
"321346",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Sekulići,Ozalj
"321338",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Ribnik,Ozalj
"321320",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Pravutina,Ozalj
"321311",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Police Pirišće,Ozalj
"321303",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Pokupje,Ozalj
"321290",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Podbrežje,Ozalj
"321281",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Ozaljski Oštri Vrh,Ozalj
"321273",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Ozalj,Ozalj
"321265",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Novaki Ozaljski,Ozalj
"321257",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Martinski Vrh,Ozalj
"321249",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Malinci,Ozalj
"321222",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Lović Prekriški,Ozalj
"321214",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Lipnik,Ozalj
"321206",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Jurovo,Ozalj
"321192",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Jaškovo,Ozalj
"321184",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Ilovac,Ozalj
"321168",Ozalj,Karlovačka županija,Karlovac,Šumarija Ozalj,Karlovac,Ferenci,Ozalj
