ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"329975",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Donje Polje,Šibenik
"329967",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Danilo Kraljice,Šibenik
"329959",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Danilo Biranj,Šibenik
"329924",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Crnica,Šibenik
"329916",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Bribir,Šibenik
"329908",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Bratiškovci,Šibenik
"329894",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Boraja,Šibenik
"329886",Šibenik,Šibensko-kninska županija,Šibenik,Šumarija Šibenik,Split,Bilice,Šibenik
"329703",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Ramljane,Split
"329673",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Nisko,Split
"329606",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Korušce,Split
"329495",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Donje Postinje,Split
"329479",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Crivac,Split
"329452",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Brštanovo,Split
"329436",Solin,Splitsko-dalmatinska županija,Split,Šumarija Split,Split,Bračević,Split
"314129",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Zvjerinac,Knin
"314099",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Uzdolje,Knin
"314072",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Turić,Knin
"314056",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Smrdelje,Knin
"314048",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Riđane,Knin
