USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena;ko_mb
Split;Dubrovnik;Kuna;6a;Gornja vruæica;1845;10;1;1;NA;306479
Split;Dubrovnik;Èesvinica;48b, 49a, 50;Sparagoviæi;1946/1;37.01;1;1;NA;307149
Split;Dubrovnik;Èesvinica;48b;Sparagoviæi;1949/1;9.71;1;1;NA;307149
Split;Dubrovnik;Èesvinica;47a;Sparagoviæi;1950;1.67;1;1;NA;307149
Split;Dubrovnik;Èesvinica;47a;Sparagoviæi;1953/1;2.49;1;1;NA;307149
Split;Dubrovnik;Èesvinica;1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14;Tomislavovac;4381/11;87.45;1;1;NA;307254
Split;Braè;Dol;9;Puèišæa;d.3905;10;1;1;NA;301698
Split;Braè;Dol;9;Puèišæa;3905/1;10;1;1;NA;301698
Split;Braè;Dol;9;Puèišæa;d.3904/1;10;1;1;NA;301698
Split;Braè;Dol;10c;Puèišæa;d.3910;15;1;1;NA;301698
Split;Braè;Dol;10c;Puèišæa;d.3904/1;15;1;1;NA;301698
Split;Braè;Dol;10c;Puèišæa;d.3965;15;1;1;NA;301698
Split;Braè;Vidova gora;44a;Nerežišæa;d.1653;3;1;1;NA;301647
Split;Braè;Vidova gora;48a;Nerežišæa;d.5651;5;1;1;NA;301647
Split;Braè;Vidova gora;54b;Nerežišæa;d.5652;8;1;1;NA;301647
Split;Braè;Vidova gora;46a;Nerežišæa;d.5583/1;5;1;1;NA;301647
Split;Braè;Vidova gora;45a;Nerežišæa;d.1653;8;1;1;NA;301647
Split;Split;Žeževica;51a;Katuni;d.5239/1;32.87;1;1;NA;319651
Split;Split;Žeževica;51a;Katuni;d.5509/1;32.87;1;1;NA;319651
Split;Split;Žeževica;51a;Žeževica;d.6521/1;32.87;1;1;NA;319813
Split;Split;Žeževica;51a;Žeževica;d.6404/1;32.87;1;1;NA;319813
Split;Split;Žeževica;53a;Katuni;d.5429;46.43;1;1;NA;319651
Split;Split;Žeževica;53a;Katuni;d.5509/1;46.43;1;1;NA;319651
Split;Split;Žeževica;53a;Katuni;d.5509/2;46.43;1;1;NA;319651
Split;Split;Žeževica;53a;Katuni;5525;46.43;1;1;NA;319651
Split;Split;Žeževica;53a;Katuni;d.5540/1;46.43;1;1;NA;319651
Split;Split;Žeževica;53a;Katuni;d.5540/3;46.43;1;1;NA;319651
Split;Split;Žeževica;53a;Opanci;d.429/1;46.43;1;1;NA;311910
Split;Split;Žeževica;57a;Opanci;d.2552/42;46.43;1;1;NA;311910
Split;Split;Žeževica;57a;Opanci;d.2623/5;46.43;1;1;NA;311910
Split;Split;Žeževica;57a;Opanci;d.2626/2;46.43;1;1;NA;311910
Split;Split;Žeževica;57a;Opanci;d.2663/2;46.43;1;1;NA;311910
Split;Split;Žeževica;57a;Opanci;d.2693/8;46.43;1;1;NA;311910
Split;Split;Žeževica;57a;Opanci;d.2792/4;46.43;1;1;NA;311910
Split;Split;Marina;56a;Seget gornji;2030;23.59;2;1;NA;330701
Split;Split;Marina;56a;Seget gornji;d.2508/1;23.59;2;1;NA;330701
Split;Split;Marina;64a;Marina;d.2210/10;22.3;2;1;NA;330728
Split;Split;Marina;65a;Marina;d.2244/1;4.11;2;1;NA;330728
Split;Split;Marina;66a;Marina;d.1344/1;3.08;2;1;NA;330728
Split;Split;Marina;76b;Trogir;d.5343;15.47;2;1;NA;330779
Split;Split;Broèanac;79a;Konjsko;1750/1;54.1;2;1;NA;329584
Split;Split;Broèanac;89b;Gizdavac;d.1825;7.43;2;1;NA;329533
Split;Split;Broèanac;89b;Gizdavac;1318/1;7.43;2;1;NA;329533
Split;Split;Vilaja;70b;Marina;1.1.9591;5.93;2;1;NA;330728
Split;Split;Vilaja;70b;Marina;10012;5.93;2;1;NA;330728
Split;Split;Vilaja;71b;Marina;1.1.9591;7.27;2;1;NA;330728
Split;Split;Vilaja;77a;Marina;1.1.9591;9.9;2;1;NA;330728
Split;Split;Kozjak kaštela;20a;Labin;d.2963/1;39.48;2;1;NA;313530
Split;Split;Kozjak kaštela;20a;Labin;d.2963/1;39.48;2;1;NA;316504
Split;Split;Kozjak kaštela;20a;Labin;d.2964/1;39.48;2;1;NA;313530
Split;Split;Kozjak kaštela;20a;Labin;d.2964/1;39.48;2;1;NA;316504
Split;Split;Kozjak kaštela;35b;Labin;d.3012;7.67;2;1;NA;313530
Split;Split;Kozjak kaštela;35b;Labin;d.3012;7.67;2;1;NA;316504
Split;Split;Kozjak kaštela;35b;Labin;d.3029;7.67;2;1;NA;313530
Split;Split;Kozjak kaštela;35b;Labin;d.3029;7.67;2;1;NA;316504
Split;Split;Kozjak kaštela;31b;Trogir;3651;3.1;2;1;NA;330779
Split;Split;Kozjak kaštela;31d;Trogir;2906/1;3.7;2;1;NA;330779
Split;Split;Kozjak kaštela;31d;Trogir;d.2909/2;3.7;2;1;NA;330779
Split;Split;Kozjak kaštela;31d;Trogir;2909/4;3.7;2;1;NA;330779
Split;Split;Kozjak kaštela;31d;Trogir;2909/5;3.7;2;1;NA;330779
Split;Split;Kozjak kaštela;36c;Trogir;3526;7.04;2;1;NA;330779
Split;Split;Kozjak kaštela;36c;Trogir;3609;7.04;2;1;NA;330779
Split;Split;Kozjak kaštela;36a;Kaštel štafiliæ;16.sij;11.33;2;1;NA;313513
Split;Split;Blato na Cetini;7a;Katuni;d.3716/1;52.52;2;1;NA;319651
Split;Split;Blato na Cetini;7a;Katuni;d.7405;52.52;2;1;NA;319651
Split;Split;Blato na Cetini;7a;Katuni;7429;52.52;2;1;NA;319651
Split;Split;Blato na Cetini;11b;Katuni;d.7166/1;56.32;2;1;NA;319651
Split;Split;Blato na Cetini;12a;Katuni;d.4527/1;50;2;1;NA;319651
Split;Split;Blato na Cetini;12a;Katuni;d.6287/29;50;2;1;NA;319651
Split;Split;Blato na Cetini;12a;Katuni;d.7166/1;50;2;1;NA;319651
Split;Sinj;Èemernica;4b;Turjaci;d.177/1;4;2;1;NA;325902
