USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Split;Metković;Nova sela;55a;Borovci;d.1580/1;5;3;1;
Split;Metković;Nova sela;75a;Vid;d.1448/1;5;3;1;
Split;Metković;Nova sela;76a;Vid;d.1448/1;5;3;1;
Split;Metković;Šibovnica;27a;Dobranje;d.2059/1;5;3;1;Metković
Split;Metković;Šibovnica;34a;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;35a;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;41a;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;44b;Vidonje;d.1692/1;5;3;1;
Split;Metković;Šibovnica;46b;Vidonje;d.2455/1;5;3;1;
Split;Metković;Šibovnica;50a;Vidonje;d.2455/1;5;3;1;
Split;Metković;Šibovnica;52a;Vidonje;d.2455/1;5;3;1;
Split;Metković;Šibovnica;53b;Vidonje;d.2144/1;5;3;1;
Split;Metković;Rujnica;4a;Plina;d.675;5;3;1;
Split;Metković;Rujnica;5a;Plina;d.675;5;3;1;
Split;Metković;Rujnica;26a;Desne;d.363;10;3;1;
Split;Metković;Rujnica;27a;Desne;d.363;5;3;1;
Split;Metković;Rujnica;28a;Desne;d.363;5;3;1;
Split;Metković;Rujnica;41a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;42a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;50a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;51a;Desne;d.3798/1;5;3;1;
Split;Metković;Rujnica;52a;Desne;d.3798/1;5;3;1;
Split;Metković;Slivno;1a;Slivno;d.3682/1;5;3;1;Metković
Split;Metković;Slivno;2a;Slivno;d.3682/1;5;3;1;Metković
Split;Metković;Slivno;9a;Slivno;d.5009;5;3;1;Metković
Split;Metković;Slivno;10a;Slivno;d.4996/1;5;3;1;Metković
Split;Metković;Slivno;14a;Slivno;d.6579/1;5;3;1;Metković
Split;Metković;Slivno;15a;Slivno;d.6579/1;5;3;1;Metković
Split;Metković;Slivno;52b;Slivno;d.9572/1;5;3;1;Metković
Split;Metković;Slivno;62a;Slivno;d.10990/1;5;3;1;Metković
Split;Metković;Slivno;75b;Slivno;d.8580/1;13.48;3;1;Metković
Split;Metković;Slivno;76b;Slivno;d.8577/1;5;3;1;Metković
Split;Metković;Slivno;76d;Slivno;d.8580/1;5;3;1;Metković
Split;Metković;Slivno;77a;Slivno;d.8577/1;5;3;1;Metković
Split;Metković;Slivno;79a;Slivno;d.7981/1;5;3;1;Metković
Split;Metković;Slivno;80c;Slivno;d.6014/1;10;3;1;Metković
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;3707, 3705, 455/1;2.49;3;1;
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;459/10;5.52;3;1;
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;1998/43, 1998/5, 1998/6, 1998/7, 1998/8, 1998/9, 1998/10, 1998/11, 1998/1;13;3;1;
Split;Biograd;Biograd;neuređeni dio šumarije;Biograd na moru;3707, 3705, 455/1;7;3;1;
Split;Biograd;Turanj;38b;Turanj;3593, 1198/6;33.64;3;1;
Split;Biograd;Turanj;40b;Filipjakov;2247,2277, 2540;15.26;3;1;
